time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-11-07T00:22:01.610Z,40.6865,-120.1667,13.58,1.71,ml,11,290.19,0.365,,nn,nn00466544,2014-11-07T00:24:34.739Z,"48km NE of Johnstonville, California",earthquake
2014-11-07T00:21:40.600Z,41.8692,-119.615,5,2.5,Md,,284.4,0.65577016,0.65,uw,uw60919471,2014-11-07T08:24:21.257Z,"70km ESE of Lakeview, Oregon",earthquake
2014-11-07T00:20:47.330Z,4.7869,95.1102,39.42,5.4,mwb,,21,1.882,0.93,us,usc000sv89,2014-11-07T14:56:14.000Z,"88km SSW of Banda Aceh, Indonesia",earthquake
2014-11-07T00:17:25.100Z,41.9135,-119.671,5,2,Md,,226.8,0.46712395,0.82,uw,uw60919466,2014-11-07T06:09:19.815Z,"63km ESE of Lakeview, Oregon",earthquake
2014-11-07T00:12:28.800Z,37.4819984,-118.7434998,12.36,1.38,md,16,226,0.1275,0.02,nc,nc72336535,2014-11-07T00:26:03.935Z,"27km SE of Mammoth Lakes, California",earthquake
2014-11-07T00:11:30.000Z,63.4984,-148.9862,11.2,3.3,ml,,,,0.47,ak,ak11435210,2014-11-07T08:14:09.472Z,"12km N of Cantwell, Alaska",earthquake
2014-11-07T00:11:14.415Z,41.8992,-119.6256,1.5635,2.66,ml,4,146.88,0.504,0.0575,nn,nn00466541,2014-11-07T11:40:13.011Z,"67km ESE of Lakeview, Oregon",earthquake
2014-11-07T00:06:50.000Z,65.0048,-147.3447,12.6,1.3,ml,,,,0.33,ak,ak11435208,2014-11-07T01:24:00.690Z,"24km NNE of Badger, Alaska",earthquake
2014-11-07T00:06:32.540Z,39.09,-115.5148,1.64,1.64,ml,8,237.85,0.672,,nn,nn00466540,2014-11-07T00:09:14.497Z,"38km N of Currant, Nevada",earthquake
2014-11-07T00:05:22.210Z,38.8383331,-122.8280029,2.58,0.19,md,8,106,0.00585,0.02,nc,nc72336530,2014-11-07T00:26:02.991Z,"9km W of Cobb, California",earthquake
2014-11-07T00:03:40.360Z,34.2751667,-117.0111667,10.71,0.78,ml,17,84,0.0188,0.23,ci,ci37285656,2014-11-07T00:07:32.910Z,"9km WNW of Big Bear Lake, California",earthquake
2014-11-06T23:55:50.730Z,33.3856667,-116.6096667,11.65,0.6,ml,12,180,0.1089,0.35,ci,ci37285640,2014-11-07T00:00:05.810Z,"19km SSE of Anza, California",earthquake
2014-11-06T23:55:43.200Z,33.2415009,-116.9771652,0.03,1.19,ml,14,130,0.3599,0.49,ci,ci37285648,2014-11-06T23:58:18.015Z,"5km ENE of Valley Center, California",earthquake
2014-11-06T23:53:20.000Z,41.874,-119.6235,0,3.1,Ml,,284.4,0.50305656,0.47,uw,uw60919446,2014-11-07T07:55:51.147Z,"69km ESE of Lakeview, Oregon",earthquake
2014-11-06T23:36:06.100Z,41.8717,-119.6533,0,2.7,Md,,216,0.48509025,0.85,uw,uw60919441,2014-11-07T07:39:03.491Z,"67km ESE of Lakeview, Oregon",earthquake
2014-11-06T23:30:47.000Z,63.2905,-151.2347,12.7,3.6,ml,,,,0.63,ak,ak11435193,2014-11-07T11:41:40.035Z,"114km W of Cantwell, Alaska",earthquake
2014-11-06T23:29:16.350Z,40.4648333,-121.5458333,5.14,0.48,md,6,135,0.02121,0.03,nc,nc72336510,2014-11-07T00:44:04.323Z,"29km E of Shingletown, California",earthquake
2014-11-06T23:20:45.812Z,41.9299,-119.7193,0,2.89,ml,4,124.1,0.435,0.5502,nn,nn00466533,2014-11-07T07:23:22.396Z,"59km ESE of Lakeview, Oregon",earthquake
2014-11-06T23:19:35.000Z,63.1504,-150.5674,126.1,1.4,ml,,,,0.62,ak,ak11435191,2014-11-07T01:24:01.819Z,"85km WSW of Cantwell, Alaska",earthquake
2014-11-06T23:05:43.123Z,41.928,-119.7223,0,2.32,ml,4,141.05,0.433,0.5142,nn,nn00466532,2014-11-07T07:08:22.897Z,"59km ESE of Lakeview, Oregon",earthquake
2014-11-06T23:05:40.550Z,32.6665,-115.8236667,9.43,1.58,ml,19,89,0.08383,0.26,ci,ci37285632,2014-11-06T23:47:55.910Z,"18km SW of Seeley, California",earthquake
2014-11-06T23:02:53.030Z,37.6503333,-118.843,8.17,0.33,md,14,104,0.01359,0.04,nc,nc72336490,2014-11-07T00:31:08.807Z,"11km E of Mammoth Lakes, California",earthquake
2014-11-06T23:00:29.000Z,60.1998,-152.2774,39.1,2,ml,,,,1.23,ak,ak11435187,2014-11-07T01:23:57.089Z,"40km SE of Redoubt Volcano, Alaska",earthquake
2014-11-06T22:56:44.000Z,37.6508333,-118.8416667,7.97,0.39,md,16,122,0.01365,0.03,nc,nc72336485,2014-11-07T00:48:01.927Z,"11km E of Mammoth Lakes, California",earthquake
2014-11-06T22:51:20.410Z,37.895668,-121.981163,9.2,1.35,md,18,68,0.03787,0.05,nc,nc72336480,2014-11-07T04:09:08.260Z,"6km NE of Alamo, California",earthquake
2014-11-06T22:36:59.140Z,36.0305,-117.8081667,0.03,0.78,ml,16,57,0.03518,0.13,ci,ci37285624,2014-11-06T23:48:15.980Z,"42km N of Inyokern, California",earthquake
